"SYMBOL ","COMPANY ","REGULATION ","NAME OF THE ACQUIRER/DISPOSER ","CATEGORY OF PERSON ","TYPE OF SECURITY (PRIOR) ","NO. OF SECURITY (PRIOR) ","% SHAREHOLDING (PRIOR) ","TYPE OF SECURITY (ACQUIRED/DISPLOSED) ","NO. OF SECURITIES (ACQUIRED/DISPLOSED) ","VALUE OF SECURITY (ACQUIRED/DISPLOSED) ","ACQUISITION/DISPOSAL TRANSACTION TYPE ","TYPE OF SECURITY (POST) ","NO. OF SECURITY (POST) ","% POST ","DATE OF ALLOTMENT/ACQUISITION FROM ","DATE OF ALLOTMENT/ACQUISITION TO ","DATE OF INITMATION TO COMPANY ","MODE OF ACQUISITION ","DERIVATIVE TYPE SECURITY ","DERIVATIVE CONTRACT SPECIFICATION ","NOTIONAL VALUE(BUY) ","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) ","NOTIONAL VALUE(SELL) ","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) ","EXCHANGE ","REMARK ","BROADCASTE DATE AND TIME ","XBRL "
"AHLWEST","Asian Hotels (West) Limited","7(2)","SANDEEP GUPTA","Director","Equity Shares","614445","5.28",,"4117","1445950","Buy","Equity Shares","618562","5.31","30-Dec-2019","17-Feb-2020","18-Feb-2020","Market Purchase","-","-","0","0","0","0","NSE","-","18-Feb-2020 13:09","https://archives.nseindia.com/corporate/xbrl/IT_1065734_223701_18022020010940_WEB.xml"
"BUTTERFLY","Butterfly Gandhimathi Appliances Limited","7(2)","A.GANDHIMATHI","Promoter Group","Equity Shares","34024","0.19",,"5000","997897","Sell","Equity Shares","29024","0.16","14-Feb-2020","14-Feb-2020","18-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Feb-2020 12:46","https://archives.nseindia.com/corporate/xbrl/IT_1065731_223697_18022020124615_WEB.xml"
"PHOENIXLTD","The Phoenix Mills Limited","7(2)","Vidyasagar Pingali","Employees/Designated Employees","Equity Shares","4300","0",,"3000","1001700","Buy","Equity Shares","7300","0.01","14-Feb-2020","14-Feb-2020","17-Feb-2020","ESOP","-","-","0","0","0","0","NA","-","18-Feb-2020 12:38","https://archives.nseindia.com/corporate/xbrl/IT_1065730_223695_18022020123843_WEB.xml"
"PHOENIXLTD","The Phoenix Mills Limited","7(2)","Rashmi Sen","Employees/Designated Employees","Equity Shares","Nil","0",,"5000","1669500","Buy","Equity Shares","5000","0","14-Feb-2020","14-Feb-2020","17-Feb-2020","ESOP","-","-","0","0","0","0","NA","-","18-Feb-2020 12:38","https://archives.nseindia.com/corporate/xbrl/IT_1065730_223695_18022020123843_WEB.xml"
"MFSL","Max Financial Services Limited","7(2)","MAX VENTURES INVESTMENT HOLDINGS PRIVATE LIMITED","Promoter Group","Equity Shares","75883275","28.16",,"240000","116868000","Pledge","Equity Shares","75883275","28.16","14-Feb-2020","14-Feb-2020","18-Feb-2020","Pledge Creation","-","-","0","0","0","0","NA","-","18-Feb-2020 12:28","https://archives.nseindia.com/corporate/xbrl/IT_1065728_223690_18022020122859_WEB.xml"
"SDBL","Som Distilleries & Breweries Limited","7(2)","SOM DISTILLERIES PRIVATE LIMITED","Promoters","Equity Shares","3064370","9.43",,"6164","637670","Buy","Equity Shares","3070534","9.45","17-Feb-2020","17-Feb-2020","18-Feb-2020","Market Purchase","-","-","0","0","0","0","NSE","-","18-Feb-2020 12:02","https://archives.nseindia.com/corporate/xbrl/IT_1065725_223686_18022020120220_WEB.xml"
"SDBL","Som Distilleries & Breweries Limited","7(2)","SOM DISTILLERIES PRIVATE LIMITED","Promoters","Equity Shares","3070534","9.45",,"1497","155676","Buy","Equity Shares","3072031","9.45","17-Feb-2020","17-Feb-2020","18-Feb-2020","Market Purchase","-","-","0","0","0","0","BSE","-","18-Feb-2020 12:02","https://archives.nseindia.com/corporate/xbrl/IT_1065725_223686_18022020120220_WEB.xml"
"SDBL","Som Distilleries & Breweries Limited","7(2)","NAKUL KAM SETHI","Key Managerial Personnel","Equity Shares","15788","0.05",,"750","77728","Buy","Equity Shares","16538","0.05","17-Feb-2020","17-Feb-2020","18-Feb-2020","Market Purchase","-","-","0","0","0","0","NSE","-","18-Feb-2020 11:54","https://archives.nseindia.com/corporate/xbrl/IT_1065723_223683_18022020115456_WEB.xml"
"HDFCAMC","HDFC Asset Management Company Limited","7(2)","NAVEEN GOGIA","Employees/Designated Employees","Equity Shares","132646","0.06",,"3232","10907354","Sell","Equity Shares","129414","0.06","14-Feb-2020","14-Feb-2020","17-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Feb-2020 11:50","https://archives.nseindia.com/corporate/xbrl/IT_1065721_223680_18022020115004_WEB.xml"
"HDFCAMC","HDFC Asset Management Company Limited","7(2)","KIRAN KAUSHIK","Employees/Designated Employees","Equity Shares","116922","0.05",,"1000","3375000","Sell","Equity Shares","115922","0.05","14-Feb-2020","14-Feb-2020","17-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Feb-2020 11:50","https://archives.nseindia.com/corporate/xbrl/IT_1065721_223680_18022020115004_WEB.xml"
"JSWHL","JSW Holdings Limited","7(2)","OPJ TRADING PRIVATE LIMITED","Promoter Group","Equity Shares","822673","7.41",,"125000","344043750","Pledge Revoke","Equity Shares","822673","7.41","14-Feb-2020","14-Feb-2020","17-Feb-2020","Revokation of Pledge","-","-","0","0","0","0","NSE","-","18-Feb-2020 11:21","https://archives.nseindia.com/corporate/xbrl/IT_1065719_223677_18022020112152_WEB.xml"
"GATI","GATI Limited","7(2)","JUBILEE COMMERCIAL & TRADING PRIVATE LIMITED","Promoter Group","Equity Shares","282313","0.23",,"132490","8903328","Pledge Invoke","Equity Shares","149823","0.12","13-Feb-2020","13-Feb-2020","17-Feb-2020","Invocation of pledge","-","-","0","0","0","0","NA","-","18-Feb-2020 10:55","https://archives.nseindia.com/corporate/xbrl/IT_1065716_223674_18022020105523_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ? ESOP Plan 2016 A/c","Other","Equity Shares","14874754","0.62",,"42000","12141223","Sell","Equity Shares","14832754","0.61","14-Feb-2020","14-Feb-2020","17-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Feb-2020 10:24","https://archives.nseindia.com/corporate/xbrl/IT_1065713_223668_18022020102454_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ? ESOP Plan 2016 A/c","Other","Equity Shares","14875754","0.62",,"1000","292271","Sell","Equity Shares","14874754","0.62","13-Feb-2020","13-Feb-2020","17-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","18-Feb-2020 10:24","https://archives.nseindia.com/corporate/xbrl/IT_1065713_223668_18022020102454_WEB.xml"
"ACE","Action Construction Equipment Limited","7(2)","Mr. Vijay Agarwal","Promoters","Equity Shares","41559731","36.62",,"36167","2832547","Buy","Equity Shares","41595898","36.65","12-Feb-2020","14-Feb-2020","17-Feb-2020","Market Purchase","-","-","0","0","0","0","NSE","-","18-Feb-2020 10:09","https://archives.nseindia.com/corporate/xbrl/IT_1065711_223665_18022020100936_WEB.xml"
"LAXMIMACH","Lakshmi Machine Works Limited","7(2)","Sanjay Jayavarthanavelu","Promoter Group","Equity Shares","142291","1.33",,"0","0","Sell","Equity Shares","142291","1.33","17-Feb-2020","17-Feb-2020","18-Feb-2020","Others","-","-","0","0","0","0","NA","-","18-Feb-2020 10:06","https://archives.nseindia.com/corporate/xbrl/IT_1065710_223662_18022020100633_WEB.xml"
"LAXMIMACH","Lakshmi Machine Works Limited","7(2)","Adi Narayana Family Trust","Promoter Group","Equity Shares","Nil","0",,"0","0","Buy","Equity Shares","Nil","0","17-Feb-2020","17-Feb-2020","18-Feb-2020","Others","-","-","0","0","0","0","NA","-","18-Feb-2020 10:06","https://archives.nseindia.com/corporate/xbrl/IT_1065710_223662_18022020100633_WEB.xml"
"MADHAV","Madhav Marbles and Granites Limited","7(2)","ARUNA DOSHI","Immediate relative","Equity Shares","674314","7.54",,"200","5836","Buy","Equity Shares","674514","7.54","14-Feb-2020","14-Feb-2020","14-Feb-2020","Market Purchase","-","-","0","0","0","0","NSE","-","17-Feb-2020 22:51","https://archives.nseindia.com/corporate/xbrl/IT_1065707_223656_17022020105111_WEB.xml"
"MADHAV","Madhav Marbles and Granites Limited","7(2)","ARUNA DOSHI","Immediate relative","Equity Shares","670315","7.49",,"3460","99574","Buy","Equity Shares","673775","7.53","12-Feb-2020","12-Feb-2020","14-Feb-2020","Market Purchase","-","-","0","0","0","0","NSE","-","17-Feb-2020 22:51","https://archives.nseindia.com/corporate/xbrl/IT_1065707_223656_17022020105111_WEB.xml"
"MADHAV","Madhav Marbles and Granites Limited","7(2)","ARUNA DOSHI","Immediate relative","Equity Shares","673775","7.53",,"539","15360","Buy","Equity Shares","674314","7.54","13-Feb-2020","13-Feb-2020","14-Feb-2020","Market Purchase","-","-","0","0","0","0","NSE","-","17-Feb-2020 22:51","https://archives.nseindia.com/corporate/xbrl/IT_1065707_223656_17022020105111_WEB.xml"
"RSYSTEMS","R Systems International Limited","7(2)","Mandeep Singh Sodhi","Immediate relative","Equity Shares","586153","0.49",,"35000","3387774","Sell","Equity Shares","551153","0.46","12-Feb-2020","13-Feb-2020","14-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 21:11","https://archives.nseindia.com/corporate/xbrl/IT_1065705_223653_17022020091104_WEB.xml"
"RSYSTEMS","R Systems International Limited","7(2)","Mandeep Singh Sodhi","Immediate relative","Equity Shares","551153","0.46",,"10352","996644","Sell","Equity Shares","540801","0.45","12-Feb-2020","13-Feb-2020","14-Feb-2020","Market Sale","-","-","0","0","0","0","BSE","-","17-Feb-2020 21:11","https://archives.nseindia.com/corporate/xbrl/IT_1065705_223653_17022020091104_WEB.xml"
"TTL","T T Limited","7(2)","SANJAY KUMAR JAIN","Promoters","Equity Shares","493013","2.3",,"5119","206867","Buy","Equity Shares","498132","2.32","13-Feb-2020","14-Feb-2020","15-Feb-2020","Market Purchase","-","-","0","0","0","0","NSE","-","17-Feb-2020 21:03","https://archives.nseindia.com/corporate/xbrl/IT_1065703_223650_17022020090348_WEB.xml"
"COROMANDEL","Coromandel International Limited","7(2)","Kumaresan M","Employees/Designated Employees","Equity Shares","23640","0.01",,"15640","951146","Pledge","Equity Shares","23640","0.01","12-Feb-2020","12-Feb-2020","14-Feb-2020","Pledge Creation","-","-","0","0","0","0","NA","-","17-Feb-2020 19:59","https://archives.nseindia.com/corporate/xbrl/IT_1065701_223644_17022020075935_WEB.xml"
"COROMANDEL","Coromandel International Limited","7(2)","S GOVINDARAJAN","Employees/Designated Employees","Equity Shares","27546","0.01",,"2000","1252278","Sell","Equity Shares","25546","0.01","14-Feb-2020","14-Feb-2020","17-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 19:59","https://archives.nseindia.com/corporate/xbrl/IT_1065701_223644_17022020075935_WEB.xml"
"COROMANDEL","Coromandel International Limited","7(2)","Aminul Islam","Employees/Designated Employees","Equity Shares","17730","0.01",,"17730","10782500","Pledge","Equity Shares","17730","0.01","12-Feb-2020","12-Feb-2020","14-Feb-2020","Pledge Creation","-","-","0","0","0","0","NA","-","17-Feb-2020 19:59","https://archives.nseindia.com/corporate/xbrl/IT_1065701_223644_17022020075935_WEB.xml"
"COROMANDEL","Coromandel International Limited","7(2)","Shankar N","Employees/Designated Employees","Equity Shares","18230","0.01",,"17730","10782500","Pledge","Equity Shares","18230","0.01","12-Feb-2020","12-Feb-2020","14-Feb-2020","Pledge Creation","-","-","0","0","0","0","NA","-","17-Feb-2020 19:59","https://archives.nseindia.com/corporate/xbrl/IT_1065701_223644_17022020075935_WEB.xml"
"COROMANDEL","Coromandel International Limited","7(2)","Manoj Kumar Agarwal","Employees/Designated Employees","Equity Shares","19350","0.01",,"16625","10254300","Pledge","Equity Shares","19350","0.01","13-Feb-2020","13-Feb-2020","14-Feb-2020","Pledge Creation","-","-","0","0","0","0","NA","-","17-Feb-2020 19:59","https://archives.nseindia.com/corporate/xbrl/IT_1065701_223644_17022020075935_WEB.xml"
"COROMANDEL","Coromandel International Limited","7(2)","Manoj Kumar Agarwal","Employees/Designated Employees","Equity Shares","19350","0.01",,"16625","10254300","Pledge Revoke","Equity Shares","19350","0.01","13-Feb-2020","13-Feb-2020","14-Feb-2020","Revokation of Pledge","-","-","0","0","0","0","NA","-","17-Feb-2020 19:59","https://archives.nseindia.com/corporate/xbrl/IT_1065701_223644_17022020075935_WEB.xml"
"COROMANDEL","Coromandel International Limited","7(2)","Manoj Kumar Agarwal","Employees/Designated Employees","Equity Shares","19350","0.01",,"16325","10164429","Sell","Equity Shares","3025","0","13-Feb-2020","13-Feb-2020","14-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 19:59","https://archives.nseindia.com/corporate/xbrl/IT_1065701_223644_17022020075935_WEB.xml"
"COROMANDEL","Coromandel International Limited","7(2)","Amit Rastogi","Employees/Designated Employees","Equity Shares","5000","0",,"4000","2492086","Sell","Equity Shares","1000","0","13-Feb-2020","13-Feb-2020","14-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 19:59","https://archives.nseindia.com/corporate/xbrl/IT_1065701_223644_17022020075935_WEB.xml"
"COROMANDEL","Coromandel International Limited","7(2)","Srikanthan Srinivasan","Employees/Designated Employees","Equity Shares","5060","0",,"5060","3156566","Sell","Equity Shares","Nil","0","13-Feb-2020","13-Feb-2020","14-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 19:59","https://archives.nseindia.com/corporate/xbrl/IT_1065701_223644_17022020075935_WEB.xml"
"COROMANDEL","Coromandel International Limited","7(2)","Amir Alvi","Employees/Designated Employees","Equity Shares","29900","0.01",,"20000","12450000","Sell","Equity Shares","9900","0","13-Feb-2020","13-Feb-2020","14-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 19:59","https://archives.nseindia.com/corporate/xbrl/IT_1065701_223644_17022020075935_WEB.xml"
"COROMANDEL","Coromandel International Limited","7(2)","Amir Alvi","Employees/Designated Employees","Equity Shares","9900","0",,"5000","3171000","Sell","Equity Shares","4900","0","14-Feb-2020","14-Feb-2020","17-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 19:59","https://archives.nseindia.com/corporate/xbrl/IT_1065701_223644_17022020075935_WEB.xml"
"COROMANDEL","Coromandel International Limited","7(2)","Manoj Kumar Agarwal","Employees/Designated Employees","Equity Shares","3025","0",,"3025","1894950","Sell","Equity Shares","Nil","0","14-Feb-2020","14-Feb-2020","17-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 19:59","https://archives.nseindia.com/corporate/xbrl/IT_1065701_223644_17022020075935_WEB.xml"
"COROMANDEL","Coromandel International Limited","7(2)","Prasannatha Rao Badey","Employees/Designated Employees","Equity Shares","30000","0.01",,"7500","4743489","Sell","Equity Shares","22500","0.01","14-Feb-2020","14-Feb-2020","17-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 19:59","https://archives.nseindia.com/corporate/xbrl/IT_1065701_223644_17022020075935_WEB.xml"
"COROMANDEL","Coromandel International Limited","7(2)","A Ramachandra Rao","Employees/Designated Employees","Equity Shares","34166","0.01",,"5000","3155050","Sell","Equity Shares","29166","0.01","14-Feb-2020","14-Feb-2020","17-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 19:59","https://archives.nseindia.com/corporate/xbrl/IT_1065701_223644_17022020075935_WEB.xml"
"INDOSTAR","IndoStar Capital Finance Limited","7(2)","Pankaj Thapar","Employees/Designated Employees","Equity Shares","2785","0",,"2785","782578","Sell","Equity Shares","Nil","0","14-Feb-2020","14-Feb-2020","17-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 19:25","https://archives.nseindia.com/corporate/xbrl/IT_1065699_223641_17022020072520_WEB.xml"
"DMART","Avenue Supermarts Limited","7(2)","Udaya Bhaskar Yarlagadda","Employees/Designated Employees","Equity Shares","43100","0",,"546","1354080","Pledge Revoke","Equity Shares","43100","0","14-Feb-2020","14-Feb-2020","17-Feb-2020","Revokation of Pledge","-","-","0","0","0","0","NA","-","17-Feb-2020 19:09","https://archives.nseindia.com/corporate/xbrl/IT_1065697_223638_17022020070958_WEB.xml"
"DMART","Avenue Supermarts Limited","7(2)","Udaya Bhaskar Yarlagadda","Employees/Designated Employees","Equity Shares","43100","0",,"546","1354080","Sell","Equity Shares","42554","0","14-Feb-2020","14-Feb-2020","17-Feb-2020","Market Sale","-","-","0","0","0","0","BSE","-","17-Feb-2020 19:09","https://archives.nseindia.com/corporate/xbrl/IT_1065697_223638_17022020070958_WEB.xml"
"DMART","Avenue Supermarts Limited","7(2)","Jude Fernandez","Employees/Designated Employees","Equity Shares","5405","0",,"400","1011500","Sell","Equity Shares","5005","0","13-Feb-2020","13-Feb-2020","14-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 19:09","https://archives.nseindia.com/corporate/xbrl/IT_1065697_223638_17022020070958_WEB.xml"
"DMART","Avenue Supermarts Limited","7(2)","Jude Fernandez","Employees/Designated Employees","Equity Shares","5505","0",,"100","251500","Sell","Equity Shares","5405","0","13-Feb-2020","13-Feb-2020","14-Feb-2020","Market Sale","-","-","0","0","0","0","BSE","-","17-Feb-2020 19:09","https://archives.nseindia.com/corporate/xbrl/IT_1065697_223638_17022020070958_WEB.xml"
"DMART","Avenue Supermarts Limited","7(2)","Jude Fernandez","Employees/Designated Employees","Equity Shares","5805","0",,"300","730200","Sell","Equity Shares","5505","0","11-Feb-2020","12-Feb-2020","14-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 19:09","https://archives.nseindia.com/corporate/xbrl/IT_1065697_223638_17022020070958_WEB.xml"
"DMART","Avenue Supermarts Limited","7(2)","Jude Fernandez","Employees/Designated Employees","Equity Shares","6005","0",,"200","415319","Sell","Equity Shares","5805","0","30-Jan-2020","31-Jan-2020","14-Feb-2020","Market Sale","-","-","0","0","0","0","BSE","-","17-Feb-2020 19:09","https://archives.nseindia.com/corporate/xbrl/IT_1065697_223638_17022020070958_WEB.xml"
"DMART","Avenue Supermarts Limited","7(2)","Dastgir Shaikh","Employees/Designated Employees","Equity Shares","275391","0.04",,"5500","13854167","Sell","Equity Shares","269891","0.04","13-Feb-2020","13-Feb-2020","14-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 19:09","https://archives.nseindia.com/corporate/xbrl/IT_1065697_223638_17022020070958_WEB.xml"
"DMART","Avenue Supermarts Limited","7(2)","Jaideep Soman","Employees/Designated Employees","Equity Shares","104221","0.01",,"900","2205000","Sell","Equity Shares","103321","0.01","13-Feb-2020","13-Feb-2020","17-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 19:09","https://archives.nseindia.com/corporate/xbrl/IT_1065697_223638_17022020070958_WEB.xml"
"DMART","Avenue Supermarts Limited","7(2)","Shashidhar Rao","Employees/Designated Employees","Equity Shares","214962","0.03",,"5000","12660000","Sell","Equity Shares","209962","0.03","13-Feb-2020","13-Feb-2020","15-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 19:09","https://archives.nseindia.com/corporate/xbrl/IT_1065697_223638_17022020070958_WEB.xml"
"DMART","Avenue Supermarts Limited","7(2)","Vikram Bhatia","Employees/Designated Employees","Equity Shares","176529","0.02",,"500","1269356","Sell","Equity Shares","176029","0.02","13-Feb-2020","13-Feb-2020","14-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 19:09","https://archives.nseindia.com/corporate/xbrl/IT_1065697_223638_17022020070958_WEB.xml"
"TECHM","Tech Mahindra Limited","7(2)","Sachin S Saraf","Employees/Designated Employees","Equity Shares","47001","0",,"1000","820800","Sell","Equity Shares","46001","0","11-Feb-2020","11-Feb-2020","13-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 19:07","https://archives.nseindia.com/corporate/xbrl/IT_1065695_223635_17022020070744_WEB.xml"
"TECHM","Tech Mahindra Limited","7(2)","Sachin S Saraf","Employees/Designated Employees","Equity Shares","46001","0",,"1000","835950","Sell","Equity Shares","45001","0","14-Feb-2020","14-Feb-2020","14-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 19:07","https://archives.nseindia.com/corporate/xbrl/IT_1065695_223635_17022020070744_WEB.xml"
"TECHM","Tech Mahindra Limited","7(2)","VIVEK AGARWAL","Employees/Designated Employees","Equity Shares","34097","0",,"4097","3421398","Sell","Equity Shares","30000","0","14-Feb-2020","14-Feb-2020","16-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 19:07","https://archives.nseindia.com/corporate/xbrl/IT_1065695_223635_17022020070744_WEB.xml"
"TECHM","Tech Mahindra Limited","7(2)","LAKSHMANAN CHIDAMBARAM","Employees/Designated Employees","Equity Shares","73009","0",,"6000","5004000","Sell","Equity Shares","67009","0","14-Feb-2020","14-Feb-2020","14-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 19:07","https://archives.nseindia.com/corporate/xbrl/IT_1065695_223635_17022020070744_WEB.xml"
"TECHM","Tech Mahindra Limited","7(2)","KARTHIKEYAN  NATARAJAN","Employees/Designated Employees","Equity Shares","89469","0",,"5750","4773750","Sell","Equity Shares","83719","0","13-Feb-2020","14-Feb-2020","14-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 19:07","https://archives.nseindia.com/corporate/xbrl/IT_1065695_223635_17022020070744_WEB.xml"
"TECHM","Tech Mahindra Limited","7(2)","ANIL KHATRI","Employees/Designated Employees","Equity Shares","4648","0",,"548","458249","Sell","Equity Shares","4100","0","14-Feb-2020","14-Feb-2020","17-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 19:07","https://archives.nseindia.com/corporate/xbrl/IT_1065695_223635_17022020070744_WEB.xml"
"TECHM","Tech Mahindra Limited","7(2)","ANIRUDDHA GADRE","Employees/Designated Employees","Equity Shares","10150","0",,"300","249200","Sell","Equity Shares","9850","0","14-Feb-2020","14-Feb-2020","17-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 19:07","https://archives.nseindia.com/corporate/xbrl/IT_1065695_223635_17022020070744_WEB.xml"
"TECHM","Tech Mahindra Limited","7(2)","S RAJI REDDY","Employees/Designated Employees","Equity Shares","1500","0",,"1100","917367","Sell","Equity Shares","400","0","14-Feb-2020","14-Feb-2020","17-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 19:07","https://archives.nseindia.com/corporate/xbrl/IT_1065695_223635_17022020070744_WEB.xml"
"TECHM","Tech Mahindra Limited","7(2)","Sudarsh Behari Lal","Employees/Designated Employees","Equity Shares","15000","0",,"2000","1667980","Sell","Equity Shares","13000","0","17-Feb-2020","17-Feb-2020","17-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 19:07","https://archives.nseindia.com/corporate/xbrl/IT_1065695_223635_17022020070744_WEB.xml"
"TECHM","Tech Mahindra Limited","7(2)","ANIRUDDHA GADRE","Employees/Designated Employees","Equity Shares","10950","0",,"800","653800","Sell","Equity Shares","10150","0","11-Feb-2020","11-Feb-2020","13-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 19:07","https://archives.nseindia.com/corporate/xbrl/IT_1065695_223635_17022020070744_WEB.xml"
"LTI","Larsen & Toubro Infotech Limited","7(2)","Dibyendu Halder","Employees/Designated Employees","Equity Shares","54500","0.03",,"5000","10020500","Sell","Equity Shares","49500","0.03","13-Feb-2020","13-Feb-2020","14-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 19:02","https://archives.nseindia.com/corporate/xbrl/IT_1065694_223632_17022020070230_WEB.xml"
"LTI","Larsen & Toubro Infotech Limited","7(2)","Kedar Gadgil","Employees/Designated Employees","Equity Shares","8465","0",,"565","1101517","Sell","Equity Shares","7900","0","20-Jan-2020","14-Feb-2020","15-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 19:02","https://archives.nseindia.com/corporate/xbrl/IT_1065694_223632_17022020070230_WEB.xml"
"LTI","Larsen & Toubro Infotech Limited","7(2)","Atul Mathur","Employees/Designated Employees","Equity Shares","9440","0",,"3000","6115320","Sell","Equity Shares","6440","0","13-Feb-2020","13-Feb-2020","17-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 19:02","https://archives.nseindia.com/corporate/xbrl/IT_1065694_223632_17022020070230_WEB.xml"
"LTI","Larsen & Toubro Infotech Limited","7(2)","SARBAJIT DEB","Employees/Designated Employees","Equity Shares","16250","0.01",,"500","1015000","Sell","Equity Shares","15750","0.01","13-Feb-2020","13-Feb-2020","15-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 19:02","https://archives.nseindia.com/corporate/xbrl/IT_1065694_223632_17022020070230_WEB.xml"
"LTI","Larsen & Toubro Infotech Limited","7(2)","HARSH NAIDU","Employees/Designated Employees","Equity Shares","52490","0.03",,"10000","20000000","Sell","Equity Shares","42490","0.02","13-Feb-2020","13-Feb-2020","14-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 19:02","https://archives.nseindia.com/corporate/xbrl/IT_1065694_223632_17022020070230_WEB.xml"
"LTI","Larsen & Toubro Infotech Limited","7(2)","Rajesh Gharpure","Employees/Designated Employees","Equity Shares","27500","0.02",,"5000","10000000","Sell","Equity Shares","22500","0.01","11-Feb-2020","11-Feb-2020","13-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 19:02","https://archives.nseindia.com/corporate/xbrl/IT_1065694_223632_17022020070230_WEB.xml"
"ADANIGAS","Adani Gas Limited","7(2)","Mahadevia Malay Rameshchandra HUF","Other","Equity Shares","Nil","0",,"35000","5917573","Buy","Equity Shares","35000","0","12-Feb-2020","12-Feb-2020","14-Feb-2020","Market Purchase","-","-","0","0","0","0","NSE","-","17-Feb-2020 18:57","https://archives.nseindia.com/corporate/xbrl/IT_1065692_223629_17022020065702_WEB.xml"
"ADANIGAS","Adani Gas Limited","7(2)","Mahadevia Malay Rameshchandra HUF","Other","Equity Shares","Nil","0",,"500","83775","Buy","Equity Shares","500","0","13-Feb-2020","13-Feb-2020","14-Feb-2020","Market Purchase","-","-","0","0","0","0","NSE","-","17-Feb-2020 18:57","https://archives.nseindia.com/corporate/xbrl/IT_1065692_223629_17022020065702_WEB.xml"
"ADFFOODS","ADF Foods Limited","7(2)","Shivaan B. Thakkar","Promoters","Equity Shares","9100","0.05",,"600","180315","Buy","Equity Shares","9700","0.05","14-Feb-2020","14-Feb-2020","17-Feb-2020","Market Purchase","-","-","0","0","0","0","BSE","-","17-Feb-2020 18:50","https://archives.nseindia.com/corporate/xbrl/IT_1065690_223626_17022020065029_WEB.xml"
"DIXON","Dixon Technologies (India) Limited","7(2)","Pankaj Sharma","Employees/Designated Employees","Equity Shares","16096","0.14",,"500","2350690","Sell","Equity Shares","15596","0.13","05-Feb-2020","05-Feb-2020","06-Feb-2020","Market Sale","-","-","0","0","0","0","NSE","-","17-Feb-2020 18:44","https://archives.nseindia.com/corporate/xbrl/IT_1065688_223621_17022020064401_WEB.xml"
