symbol,company,regulation,nameoftheacquirerdisposer,categoryofperson,typeofsecurityprior,noofsecurityprior,shareholdingprior,typeofsecurityacquireddisplosed,noofsecuritiesacquireddisplosed,valueofsecurityacquireddisplosed,acquisitiondisposaltransactiontype,typeofsecuritypost,noofsecuritypost,post,dateofallotmentacquisitionfrom,dateofallotmentacquisitionto,dateofinitmationtocompany,modeofacquisition,derivativetypesecurity,derivativecontractspecification,notionalvaluebuy,numberofunitscontractlotsizebuy,notionalvaluesell,numberofunitscontractlotsizesell,exchange,remark,broadcastedateandtime,xbrl,scripcode,mseisymbol,companyname,isin,personcategory,personname,instrumenttype,securitynumberheldprior,securitiespercentageheldprior,noofsecurities,securityvalue,securitytype,postsecurities,postsecuritypercentage,allotmentadvicedate,saleofsharesspecifytodate,dateofintimation,modeofacquisionordisposal,exchangeonwhichthetradewasexecuted,valueinaggregate
SUMEETINDS,Sumeet Industries Limited,7(2),SOMANI OVERSEAS PVT LTD,Promoter Group,Equity Shares,9128825,8.81,,125000.0,844355,Buy,Equity Shares,9253825,8.93,27-Sep-2018,27-Sep-2018,29-Sep-2018,Market Purchase,-,-,0,0,0.0,0,NSE,-,29-Sep-2018 11:56,https://archives.nseindia.com/corporate/xbrl/IT_1042666_40474_29092018115656_WEB.xml,514211,NOTLISTED,Sumeet Industries Limited,INE235C01010,Promoter Group,SOMANI OVERSEAS PVT LTD,Equity Shares,9128825,8.81,125000,844355.0,Buy,9253825,8.93,2018-09-27,2018-09-27,2018-09-29,Market Purchase,NSE,844355.0
LT,Larsen & Toubro Limited,7(2),RAMANA M V,Employees/Designated Employees,Equity Shares,77295,0.01,,5000.0,6556550,Sell,Equity Shares,72295,0.01,26-Sep-2018,26-Sep-2018,28-Sep-2018,Market Sale,-,-,0,0,0.0,0,NSE,-,29-Sep-2018 11:47,https://archives.nseindia.com/corporate/xbrl/IT_1042664_40472_29092018114757_WEB.xml,0,NOTLISTED,Larsen & Toubro Limited,INE018A01030,Employees/Designated Employees,RAMANA M V,Equity Shares,77295,0.01,5000,6556550.0,Sell,72295,0.01,2018-09-26,2018-09-26,2018-09-28,Market Sale,NSE,6556550.0
KARURVYSYA,Karur Vysya Bank Limited,7(2),A P PREETHA,Promoter Group,Equity Shares,61740,0.01,,2000.0,0,Buy,Equity Shares,63740,0.01,18-Sep-2018,18-Sep-2018,27-Sep-2018,Gift,-,-,0,0,0.0,0,,-,28-Sep-2018 20:55,https://archives.nseindia.com/corporate/xbrl/IT_1042658_40427_28092018085527_WEB.xml,0,NOTLISTED,Karur Vysya Bank Limited,INE036D01028,Promoter Group,A P PREETHA,Equity Shares,61740,0.01,2000,0.0,Buy,63740,0.01,2018-09-18,2018-09-18,2018-09-27,Gift,,0.0
MOTHERSUMI,Motherson Sumi Systems Limited,7(2),SaSamvardhana Motherson International Ltd,Promoters,Equity Shares,703833769,33.43,,10900000.0,2771325000,Pledge,Equity Shares,703833769,33.43,24-Sep-2018,24-Sep-2018,26-Sep-2018,Pledge Creation,-,-,0,0,0.0,0,,-,28-Sep-2018 20:55,https://archives.nseindia.com/corporate/xbrl/IT_1042659_40426_28092018085513_WEB.xml,517334,NOTLISTED,Motherson Sumi Systems Limited,INE775A01035,Promoters,SaSamvardhana Motherson International Ltd,Equity Shares,703833769,33.43,10900000,2771325000.0,Pledge,703833769,33.43,2018-09-24,2018-09-24,2018-09-26,Pledge Creation,,2771325000.0
RELINFRA,Reliance Infrastructure Limited,7(2),Reliance Project Ventures and Management Private Limited,Promoters,Equity Shares,106148937,40.36,,7500000.0,2470875000,Pledge Revoke,Equity Shares,106148937,40.36,24-Sep-2018,24-Sep-2018,26-Sep-2018,Others,-,-,0,0,0.0,0,,-,28-Sep-2018 20:48,https://archives.nseindia.com/corporate/xbrl/IT_1042656_40423_28092018084802_WEB.xml,500390,NOTLISTED,Reliance Infrastructure Limited,INE036A01016,Promoters,Reliance Project Ventures and Management Private Limited,Equity Shares,106148937,40.36,7500000,2470875000.0,Pledge Revoke,106148937,40.36,2018-09-24,2018-09-24,2018-09-26,Others,,2470875000.0
RPOWER,Reliance Power Limited,7(2),Reliance Project Ventures and Management Private Limited,Promoters,Equity Shares,537387901,19.16,,56500000.0,1567875000,Pledge Revoke,Equity Shares,537387901,19.16,24-Sep-2018,24-Sep-2018,26-Sep-2018,Revokation of Pledge,-,-,0,0,0.0,0,,-,28-Sep-2018 20:23,https://archives.nseindia.com/corporate/xbrl/IT_1042654_40408_28092018082323_WEB.xml,532939,NOTLISTED,Reliance Power Limited,INE614G01033,Promoters,Reliance Project Ventures and Management Private Limited,Equity Shares,537387901,19.16,56500000,1567875000.0,Pledge Revoke,537387901,19.16,2018-09-24,2018-09-24,2018-09-26,Revokation of Pledge,,1567875000.0
MAHLIFE,Mahindra Lifespace Developers Limited,7(2),John Lancelot Cutinha,Employees/Designated Employees,Equity Shares,Nil,0.0,,4000.0,1749600,Buy,Equity Shares,4000,0.00,28-Sep-2018,28-Sep-2018,28-Sep-2018,ESOP,-,-,0,0,0.0,0,,-,28-Sep-2018 19:57,https://archives.nseindia.com/corporate/xbrl/IT_1042652_40400_28092018075743_WEB.xml,0,NOTLISTED,Mahindra Lifespace Developers Limited,INE813A01018,Employees/Designated Employees,John Lancelot Cutinha,Equity Shares,0,0.0,4000,1749600.0,Buy,4000,0.0,2018-09-28,2018-09-28,2018-09-28,ESOP,,1749600.0
BIOCON,Biocon Limited,7(2),BIOCON INDIA LIMITED EMPLOPEE WELFARE TRUST,Other,Equity Shares,8125048,0.0,,175600.0,26845571,Sell,Equity Shares,7949448,0.00,25-Sep-2018,25-Sep-2018,26-Sep-2018,Off Market,-,-,0,0,0.0,0,,-,28-Sep-2018 19:54,https://archives.nseindia.com/corporate/xbrl/IT_1042651_40395_28092018075416_WEB.xml,0,NOTLISTED,Biocon Limited,INE376G01013,Other,BIOCON INDIA LIMITED EMPLOPEE WELFARE TRUST,Equity Shares,8125048,0.0,175600,26845571.0,Sell,7949448,0.0,2018-09-25,2018-09-25,2018-09-26,Off Market,,26845571.0
GRPLTD,GRP Limited,7(2),JAGDISH M. DESAI HUF,Promoter Group,Equity Shares,13199,0.99,,500.0,593880,Sell,Equity Shares,12699,0.95,26-Sep-2018,26-Sep-2018,27-Sep-2018,Market Sale,-,-,0,0,0.0,0,BSE,-,28-Sep-2018 19:40,https://archives.nseindia.com/corporate/xbrl/IT_1042647_40381_28092018074023_WEB.xml,0,NOTLISTED,GRP Limited,INE137I01015,Promoter Group,JAGDISH M. DESAI HUF,Equity Shares,13199,0.99,500,593880.0,Sell,12699,0.95,2018-09-26,2018-09-26,2018-09-27,Market Sale,BSE,593880.0
ALLCARGO,Allcargo Logistics Limited,7(2),Sandeep Chadha,Employees/Designated Employees,Equity Shares,20600,0.01,,20000.0,2143772,Buy,Equity Shares,40600,0.02,25-Sep-2018,27-Sep-2018,27-Sep-2018,Market Purchase,-,-,0,0,0.0,0,BSE,-,28-Sep-2018 19:29,https://archives.nseindia.com/corporate/xbrl/IT_1042646_40380_28092018072943_WEB.xml,532749,NOTLISTED,Allcargo Logistics Limited,INE418H01029,Employees/Designated Employees,Sandeep Chadha,Equity Shares,20600,0.01,20000,2143772.0,Buy,40600,0.02,2018-09-25,2018-09-27,2018-09-27,Market Purchase,BSE,2143772.0
INDOSTAR,IndoStar Capital Finance Limited,7(2),Mihir Bhavsar,Employees/Designated Employees,Equity Shares,4000,0.0,,2900.0,1062276.09,Pledge Invoke,Equity Shares,1100,0.00,24-Sep-2018,24-Sep-2018,26-Sep-2018,Invocation of pledge,-,-,0,0,0.0,0,NSE,-,28-Sep-2018 19:01,https://archives.nseindia.com/corporate/xbrl/IT_1042634_40369_28092018070116_WEB.xml,541336,NOTLISTED,IndoStar Capital Finance Limited,INE896L01010,Employees/Designated Employees,Mihir Bhavsar,Equity Shares,4000,0.0,2900,1062276.09,Pledge Invoke,1100,0.0,2018-09-24,2018-09-24,2018-09-26,Invocation of pledge,NSE,1062276.09
NAUKRI,Info Edge (India) Limited,7(2),Sanjeev Bikhchandani,Promoters,Equity Shares,33632645,27.59,,374.0,559893.55,Sell,Equity Shares,33632271,27.59,27-Sep-2018,27-Sep-2018,27-Sep-2018,Market Sale,-,-,0,0,0.0,0,NSE,-,28-Sep-2018 18:56,https://archives.nseindia.com/corporate/xbrl/IT_1042644_40366_28092018065617_WEB.xml,0,NOTLISTED,Info Edge (India) Limited,INE663F01024,Promoters,Sanjeev Bikhchandani,Equity Shares,33632645,27.59,374,559893.55,Sell,33632271,27.59,2018-09-27,2018-09-27,2018-09-27,Market Sale,NSE,559893.55
BRFL,Bombay Rayon Fashions Limited,7(2),Bombay Rayon Clothing Limited,Promoter Group,Equity Shares,5502846,1.73,,263117.0,4132308.19,Pledge Invoke,Equity Shares,5239729,1.65,10-Sep-2018,10-Sep-2018,26-Sep-2018,Invocation of pledge,-,-,0,0,0.0,0,"BSE,NSE",-,28-Sep-2018 18:49,https://archives.nseindia.com/corporate/xbrl/IT_1042641_40364_28092018064913_WEB.xml,532678,NOTLISTED,Bombay Rayon Fashions Limited,INE589G01011,Promoter Group,Bombay Rayon Clothing Limited,Equity Shares,5502846,1.73,263117,4132308.19,Pledge Invoke,5239729,1.65,2018-09-10,2018-09-10,2018-09-26,Invocation of pledge,"BSE,NSE",4132308.19
QVC,QVC Realty Co. Limited,7(2),Cigam Ventures Private Limited,Promoter Group,Equity Shares,671666,87.04,,47.0,25051,Buy,Equity Shares,671713,87.04,26-Sep-2018,26-Sep-2018,28-Sep-2018,Off Market,-,-,0,0,0.0,0,,-,28-Sep-2018 18:45,https://archives.nseindia.com/corporate/xbrl/IT_1042624_40363_28092018064515_WEB.xml,0,NOTLISTED,QVC Realty Co. Limited,INE899Q01013,Promoter Group,Cigam Ventures Private Limited,Equity Shares,671666,87.04,47,25051.0,Buy,671713,87.04,2018-09-26,2018-09-26,2018-09-28,Off Market,,25051.0
QVC,QVC Realty Co. Limited,7(2),Avendus Capital Private Limited,Other,Equity Shares,47,0.01,,47.0,25051,Sell,Equity Shares,Nil,0.00,26-Sep-2018,26-Sep-2018,28-Sep-2018,Off Market,-,-,0,0,0.0,0,,-,28-Sep-2018 18:45,https://archives.nseindia.com/corporate/xbrl/IT_1042624_40363_28092018064515_WEB.xml,0,NOTLISTED,QVC Realty Co. Limited,INE899Q01013,Promoter Group,Cigam Ventures Private Limited,Equity Shares,671666,87.04,47,25051.0,Buy,671713,87.04,2018-09-26,2018-09-26,2018-09-28,Off Market,,25051.0
