"SYMBOL ","COMPANY ","REGULATION ","NAME OF THE ACQUIRER/DISPOSER ","CATEGORY OF PERSON ","TYPE OF SECURITY (PRIOR) ","NO. OF SECURITY (PRIOR) ","% SHAREHOLDING (PRIOR) ","TYPE OF SECURITY (ACQUIRED/DISPLOSED) ","NO. OF SECURITIES (ACQUIRED/DISPLOSED) ","VALUE OF SECURITY (ACQUIRED/DISPLOSED) ","ACQUISITION/DISPOSAL TRANSACTION TYPE ","TYPE OF SECURITY (POST) ","NO. OF SECURITY (POST) ","% POST ","DATE OF ALLOTMENT/ACQUISITION FROM ","DATE OF ALLOTMENT/ACQUISITION TO ","DATE OF INITMATION TO COMPANY ","MODE OF ACQUISITION ","DERIVATIVE TYPE SECURITY ","DERIVATIVE CONTRACT SPECIFICATION ","NOTIONAL VALUE(BUY) ","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) ","NOTIONAL VALUE(SELL) ","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) ","EXCHANGE ","REMARK ","BROADCASTE DATE AND TIME ","XBRL "
"NCC","NCC Limited","7(2)","V RADHAKRISHNA","Other","Equity Shares","4540701","0.76",,"25000","2550000","Sell","Equity Shares","4515701","0.75","27-Jun-2019","27-Jun-2019","29-Jun-2019","Market Sale","-","-","0","0","0","0","BSE,NSE","-","29-Jun-2019 17:14","https://archives.nseindia.com/corporate/xbrl/IT_1054108_109890_29062019051434_WEB.xml"
"DLF","DLF Limited","7(2)","DLF Urva Real Estate Developers & Services Pvt Ltd","Promoter Group","Warrants","13808976","0.59",,"13808975","217.25","Buy","Warrants","27617951","1.12","26-Jun-2019","26-Jun-2019","28-Jun-2019","Conversion of security","-","-","0","0","0","0","NA","-","29-Jun-2019 17:03","https://archives.nseindia.com/corporate/xbrl/IT_1054107_109886_29062019050339_WEB.xml"
"DLF","DLF Limited","7(2)","RAJDHANI INVESTMENTS & AGENCIES PVT. LTD.","Promoters","Warrants","1356307091","58.03",,"124280783","217.25","Buy","Warrants","1480587874","59.81","26-Jun-2019","26-Jun-2019","28-Jun-2019","Conversion of security","-","-","0","0","0","0","NA","-","29-Jun-2019 17:03","https://archives.nseindia.com/corporate/xbrl/IT_1054107_109886_29062019050339_WEB.xml"
"INFIBEAM","Infibeam Avenues Limited","7(2)","Infinium Auto Mall Private Limited","Promoter Group","Equity Shares","11555900","1.74",,"1000000","44200000","Pledge Revoke","Equity Shares","11555900","1.74","28-Jun-2019","28-Jun-2019","29-Jun-2019","Revokation of Pledge","-","-","0","0","0","0","NA","-","29-Jun-2019 16:10","https://archives.nseindia.com/corporate/xbrl/IT_1054103_109881_29062019041036_WEB.xml"
"KOLTEPATIL","Kolte - Patil Developers Limited","7(2)","Vandana Naresh Patil","Promoter Group","Equity Shares","7127389","9.4",,"3991","825919","Buy","Equity Shares","7131380","9.41","26-Jun-2019","26-Jun-2019","27-Jun-2019","Market Purchase","-","-","0","0","0","0","BSE,NSE","-","29-Jun-2019 15:54","https://archives.nseindia.com/corporate/xbrl/IT_1054102_109878_29062019035458_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","GIRISH NAYAK","Employees/Designated Employees","Equity Shares","5000","0",,"5000","2184043","Sell","Equity Shares","Nil","0.00","26-Jun-2019","26-Jun-2019","27-Jun-2019","Market Sale","-","-","0","0","0","0","NSE","-","29-Jun-2019 15:48","https://archives.nseindia.com/corporate/xbrl/IT_1054101_109876_29062019034813_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","Mayank Agrawal","Employees/Designated Employees","Equity Shares","26100","0",,"3100","1364000","Sell","Equity Shares","23000","0.00","26-Jun-2019","26-Jun-2019","27-Jun-2019","Market Sale","-","-","0","0","0","0","NSE","-","29-Jun-2019 15:48","https://archives.nseindia.com/corporate/xbrl/IT_1054101_109876_29062019034813_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","Vasudeva Konda","Employees/Designated Employees","Equity Shares","475","0",,"53900","8060011","Buy","Equity Shares","54375","0.00","24-Jun-2019","24-Jun-2019","27-Jun-2019","ESOP","-","-","0","0","0","0","NA","-","29-Jun-2019 15:48","https://archives.nseindia.com/corporate/xbrl/IT_1054101_109876_29062019034813_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","Murali Ramakrishnan","Employees/Designated Employees","Equity Shares","134250","0",,"15000","6608880.15","Sell","Equity Shares","119250","0.00","25-Jun-2019","27-Jun-2019","27-Jun-2019","Market Sale","-","-","0","0","0","0","NSE","-","29-Jun-2019 15:48","https://archives.nseindia.com/corporate/xbrl/IT_1054101_109876_29062019034813_WEB.xml"
"ICICIBANK","ICICI Bank Limited","7(2)","SHUBHANGI BISWAS","Employees/Designated Employees","Equity Shares","5940","0",,"15982","4750640.65","Buy","Equity Shares","21922","0.00","24-Jun-2019","24-Jun-2019","27-Jun-2019","ESOP","-","-","0","0","0","0","NA","-","29-Jun-2019 15:48","https://archives.nseindia.com/corporate/xbrl/IT_1054101_109876_29062019034813_WEB.xml"
